Sr No.,HAPPY,HAPPYLINK,SADNESS,SADLINK,NEUTRAL,NEUTRALLINK,WORRY,WORRYLINK,ANGER,ANGERLINK,RELIEF,RELIEFLINK,FEAR,FEARLINK,SURPRISE,SURPRISELINK,LOVE,LOVELINK
1,Tamma tamma again,https://www.youtube.com/embed/KR6DbWSe-co,maana ke hum yaar nahi,https://www.youtube.com/embed/D9N7qAyLofE,teri bhabhi khadi hai,https://www.youtube.com/embed/oq6av2OmQ1w,sher aaya sher,https://www.youtube.com/embed/M81wneSjQbA,udta punjab,https://www.youtube.com/embed/Ezsb5afVXQQ,tum se hi,https://www.youtube.com/embed/mt9xg0mmt28,galat baat hai,https://www.youtube.com/embed/coQ95u7w_18,hua hai aaj pehli baar,https://www.youtube.com/embed/DGVJtAHzzDQ,tum hi ho,https://www.youtube.com/embed/IJq0yyWug1k
,,,,,,,,,,,,,,,,,,
2,Abhi toh party shuru hui hai,https://www.youtube.com/embed/8LZgzAZ2lpQ,kabira,https://www.youtube.com/embed/jHNNMj5bNQw,pappu can't dance saala,https://www.youtube.com/embed/dbdtBQ16CXc,dil kyu yeh mera shor kare,https://www.youtube.com/embed/maKDIvUVkQo,apna time aayega,https://www.youtube.com/embed/jFGKJBPFdUA,malang,https://www.youtube.com/embed/KBIq11mNB0I,tareefan,https://www.youtube.com/embed/3SWc5G8Gx7E,kudi nu nachne de,https://www.youtube.com/embed/oSpMspvMkSQ,ek ladki ko dekha toh aisa laga,https://www.youtube.com/embed/XKbiIahG6ok
,,,,,,,,,,,,,,,,,,
3,High heels te nacche,https://www.youtube.com/embed/N_KpjLhJa1k&vl=en,dilbaro,https://www.youtube.com/embed/WqUXVw0WlXc,mast magan,https://www.youtube.com/embed/xitd9mEZIHk,sweety tera drama,https://www.youtube.com/embed/RpuhD_xKadk,bhaag dk bose,https://www.youtube.com/embed/IQEDu8SPHao,sooraj ki baahon mein,https://www.youtube.com/embed/Isb7WV4d17I,Tu na jaane aas pass,https://www.youtube.com/embed/jAUSF4_ygJg,chedkaniyaan,https://www.youtube.com/embed/Eu_81ewUBsQ,love me thoda aur,https://www.youtube.com/embed/lz1-1Q8Gync
,,,,,,,,,,,,,,,,,,
4,Badtameez dil,https://www.youtube.com/embed/LaqnaNYEqi0,Tu jaane na,https://www.youtube.com/embed/0oWG2Ss9px4,hawayein,https://www.youtube.com/embed/cYOB941gyXI,kasoor,https://www.youtube.com/embed/BmUe3-sfr7E,jee karda,https://www.youtube.com/embed/BN45QQ7R92M,uff teri adaa,https://www.youtube.com/embed/qTsAdjULqwg,bhula dena mujhe,https://www.youtube.com/embed/g8LEktKv9hs,O betaji ,https://www.youtube.com/embed/-DPN72QhjH8,raanjhana,https://www.youtube.com/embed/UPEU5HT9fzA
,,,,,,,,,,,,,,,,,,
5,Aankh maarey,https://www.youtube.com/embed/_KhQT-LGb-4,bhula dena mujhe,https://www.youtube.com/embed/g8LEktKv9hs,naadan parindey,https://www.youtube.com/embed/ttIKsnxPrMY,bachana ae haseeno,https://www.youtube.com/embed/k4PMUZ055vc,who let the dogs out,https://www.youtube.com/embed/Qkuu0Lwb5EM,jaane kyu,https://www.youtube.com/embed/n0PoVxBMUyE,Guts over fear,https://www.youtube.com/embed/0AqnCSdkjQ0,memories,https://www.youtube.com/embed/SlPhMPnQ58k,kalank,https://www.youtube.com/embed/Grr0FlC8SQA
,,,,,,,,,,,,,,,,,,
6,Bom diggy diggy,https://www.youtube.com/embed/yIIGQB6EMAM,naaam,https://www.youtube.com/embed/LxhEW6B-DrM,nain parindey,https://www.youtube.com/embed/Gcdr0kq9cQI,milne hai mujhse aayi,https://www.youtube.com/embed/GtPvCa3vvxA,aata mazhi satkali,https://www.youtube.com/embed/M3KqzpP6Ej0,I'll be there for you,https://www.youtube.com/embed/n0PoVxBMUyE,mere dholna,https://www.youtube.com/embed/lL0ULDPCqIA,aunty ji get up and dance,https://www.youtube.com/embed/4HYrrHIk6l8,ajab si,https://www.youtube.com/embed/bdS6OoH1W2A
,,,,,,,,,,,,,,,,,,
7,Aaj ki party,https://www.youtube.com/embed/vlS7oilbya0,phir se ud chala,https://www.youtube.com/embed/2mWaqsC3U7k,as pas hai khuda,https://www.youtube.com/embed/jAUSF4_ygJg,piya aaye na,https://www.youtube.com/embed/2bMEe0UYa8E,sadda haq,https://www.youtube.com/embed/p9DQINKZxWE,mere liye tum kaafi ho,https://www.youtube.com/embed/5LBB6OV3Ano,gunaam hai koi,https://www.youtube.com/embed/Kjyr9JYd3-I,nashe si chadh gyi,https://www.youtube.com/embed/HoCwa6gnmM0,tu jaane na,https://www.youtube.com/embed/P8PWN1OmZOA
,,,,,,,,,,,,,,,,,,
8,Tareefan,https://www.youtube.com/embed/3SWc5G8Gx7E,tum sath ho,https://www.youtube.com/embed/OGI0fNvr4fo,yaara teri yaari,https://www.youtube.com/embed/8kwAHTi7xTc,ratta maar,https://www.youtube.com/embed/psWV9GdEgzo,rock on,https://www.youtube.com/embed/EOyyVT31cCM,der lagi lekin,https://www.youtube.com/embed/2apfulo5uqc,kaari kaari,https://www.youtube.com/embed/76qsUB3jxYA,kabhi kabhi aditi zindagi,https://www.youtube.com/embed/HIbzXaBdwZw,dhokadhadi,https://www.youtube.com/embed/hrcICKdEkYQ
,,,,,,,,,,,,,,,,,,
9,Let's nacho,https://www.youtube.com/embed/TLnwqAarPkM,hasi,https://www.youtube.com/embed/oyaudgo5_8Y,Iktara,https://www.youtube.com/embed/fSS_R91Nimw,aapne jo kuch humko padhaya vo kahi ,https://www.youtube.com/embed/KfY8fxBvtMk,why this kolaveri,https://www.youtube.com/embed/YR12Z8f1Dh8,khwaabo ke parindey,https://www.youtube.com/embed/R0XjwtP_iTY,scared to be lonely,https://www.youtube.com/embed/e2vBLd5Egnk,dilwane poochde ne chaaa,https://www.youtube.com/embed/2wI1zFswhA0,sajda,https://www.youtube.com/embed/3rPEWcY6Oww
,,,,,,,,,,,,,,,,,,
10,Nachange saari raat,https://www.youtube.com/embed/lQh3iy86QUE,humnava,https://www.youtube.com/embed/ktPD6TMovxs,Kolaveri di ,https://www.youtube.com/embed/YR12Z8f1Dh8,all is well ,https://www.youtube.com/embed/92KwVmqlbWE,tuada kutta tommy,https://www.youtube.com/embed/va3JHUlMZHU,love you zindagi,https://www.youtube.com/embed/bw7bVpI5VcM,muskane jhuti hai,https://www.youtube.com/embed/C805Nt0JPIY,liar,https://www.youtube.com/embed/KsDZix4ZSlU,tum tak,https://www.youtube.com/embed/k09uvR5eUao
,,,,,,,,,,,,,,,,,,
11,Matargashti,https://www.youtube.com/embed/Vkcki2dRCxM,channa mereya,https://www.youtube.com/embed/284Ov7ysmfA,senorita,https://www.youtube.com/embed/LwzN_v7GPMs,Fikar not,https://www.youtube.com/embed/mxva6l4bCSI,dhan te nan,https://www.youtube.com/embed/AKF2whlGnr4,tum hi ho bandhu,https://www.youtube.com/embed/o1RducJbUdc,runaway,https://www.youtube.com/embed/d_HlPboLRL8,chadha diya,https://www.youtube.com/embed/SjhBeIz1tDI,jaise mera tu,https://www.youtube.com/embed/8HfXXnTo3wI
,,,,,,,,,,,,,,,,,,
12,Hawa Hawa,https://www.youtube.com/embed/rj4ahl6WXgs,mann mera,https://www.youtube.com/embed/SlHnlxDt2TQ,girls like you,https://www.youtube.com/embed/aJOTlE1K90k,Control,https://www.youtube.com/embed/ABG0gQ9czvk,channa mereya,https://www.youtube.com/embed/284Ov7ysmfA,prem ki nayiya,https://www.youtube.com/embed/J3Ux5TQ4oUc,yeh kaali kaali aankhen,https://www.youtube.com/embed/IhKXq5dhTag,humraah,https://www.youtube.com/embed/hJBHSmyqv0Y,rang jo laagyo re,https://www.youtube.com/embed/zRaoAWEY9Jo
,,,,,,,,,,,,,,,,,,
13,Gallan goodiyan,https://www.youtube.com/embed/jCEdTq3j-0U,kya hua tera vada,https://www.youtube.com/embed/pBGq6vNHpMQ,Woh din bhi,https://www.youtube.com/embed/-z_UvHknyrc,Aye mere humsafar,https://www.youtube.com/embed/nBLYHFwIyYA,mera intkam dekhegi,https://www.youtube.com/embed/BiVyN2ftrrs,havana,https://www.youtube.com/embed/BQ0mxQXmLsk,sau baras,https://www.youtube.com/embed/zvaTc9yus-w,a whole new world,https://www.youtube.com/embed/rg_zwK_sSEY,piya o re piya,https://www.youtube.com/embed/u-FaTNxrWhw
,,,,,,,,,,,,,,,,,,
14,Raanjhana,https://www.youtube.com/embed/GkEXp4FVxSo,tere mere,https://www.youtube.com/embed/vqJRytxAjog,liggi,https://www.youtube.com/embed/6BYIKEH0RCQ,kora kaagaz tha,https://www.youtube.com/embed/ql1-jjEPErw,sweety tera pyaar chahida,https://www.youtube.com/embed/ERQ0i8_lEY4,raat raazi,https://www.youtube.com/embed/eMDODWVs7zg,cradles,https://www.youtube.com/embed/KBtk5FUeJbk,tune maari entriyaan,https://www.youtube.com/embed/2I3NgxDAiqE,oh sathi,https://www.youtube.com/embed/YuXLN23ZGQo
,,,,,,,,,,,,,,,,,,
15,Saturday saturday,https://www.youtube.com/embed/OljkSVLIt6c,khariyat,https://www.youtube.com/embed/hoNb6HuNmU0,aabaad barbaad,https://www.youtube.com/embed/ww3hx_z-Gq8,Maa ka phone aaya,https://www.youtube.com/embed/YVLgGkOcnYY,dark horse,https://www.youtube.com/embed/0KSOMA3QBU0,cold mess,https://www.youtube.com/embed/Il7Nv270zNk,bring me back,https://www.youtube.com/embed/gAt_hSIIUMU,maa da ladla,https://www.youtube.com/embed/wVCZmXiK-6k,qaafirana,https://www.youtube.com/embed/ZmcBC9-wAXM
,,,,,,,,,,,,,,,,,,
16,party on mind,https://www.youtube.com/embed/_YqzZWXkoq0,sab tera,https://www.youtube.com/embed/sZfnwayum2M,phir le aaya,https://www.youtube.com/embed/-RAsJ6dAF68,maa da ladla,https://www.youtube.com/embed/wVCZmXiK-6k,call me by your name,https://www.youtube.com/embed/6swmTBVI83k,kaha ho tum,https://www.youtube.com/embed/ACRTKMgu6lc,bring me to life,https://www.youtube.com/embed/3YxaaGgTQYM,Maa ka phone aaya,https://www.youtube.com/embed/YVLgGkOcnYY,tera ban jaunga,https://www.youtube.com/embed/Qdz5n1Xe5Qo
, ,,,,,,,,,,,,,,,,,
17,yummy,https://www.youtube.com/embed/8EJ3zbKTWQ8,treat you better,https://www.youtube.com/embed/lY2yjAdbvdQ,sauda khara khara,https://www.youtube.com/embed/LYEqeUr-158,darya,https://www.youtube.com/embed/1Z_cClBsABE,ek kahani jo sabko sunani,https://www.youtube.com/embed/ia-bjaMYewE,dil beparwah,https://www.youtube.com/embed/e7wDh3WXniE,I will fear no more,https://www.youtube.com/embed/wMmmbJlWhtk,Believer,https://www.youtube.com/embed/7wtfhZwyrcc,kinna sona,https://www.youtube.com/embed/5qIJ7tQ2QbM
,,,,,,,,,,,,,,,,,,
18,vacation,https://www.youtube.com/embed/7zok9co_8E4,before you go,https://www.youtube.com/embed/Jtauh8GcxBY,willow,https://www.youtube.com/embed/RsEZmictANA,oo mere dil ke chain,https://www.youtube.com/embed/5eyflIV8pzM,blank space,https://www.youtube.com/embed/e-ORhEE9VVg,saansein,https://www.youtube.com/embed/AxrCKwLcAzM,Fear is a liar,https://www.youtube.com/embed/1srs1YoTVzs,Sugar,https://www.youtube.com/embed/09R8_2nJtjg,main rahun ya na rahun,https://www.youtube.com/embed/Dp6lbdoprZ0
,,,,,,,,,,,,,,,,,,
19,badtameez dil,https://www.youtube.com/embed/II2EO3Nw4m0,someone you loved,https://www.youtube.com/embed/zABLecsR5UE,night changes,https://www.youtube.com/embed/syFZfO_wfMQ,mad world,https://www.youtube.com/embed/ZA-CgtmINgc,shoutout to my ex,https://www.youtube.com/embed/bFDzhKdrN9M,kadam,https://www.youtube.com/embed/C1oj-lK0Ecc,Whom shall I fear,https://www.youtube.com/embed/qOkImV2cJDg,Sujrprise me,https://www.youtube.com/embed/VzppuKWR-5U,tune jo na kahan,https://www.youtube.com/embed/dTu5dTEzVM4
,,,,,,,,,,,,,,,,,,
20,kar gai chull,https://www.youtube.com/embed/NTHz9ephYTw,if the world was ending,https://www.youtube.com/embed/1jO2wSpAoxA,everthing at once,https://www.youtube.com/embed/eE9tV1WGTgE,just chill,https://www.youtube.com/embed/hdzPbvBBB9g,bad blood,https://www.youtube.com/embed/QcIy9NiNbmo,at my worst,https://www.youtube.com/embed/l2qCrrVXGsw,F.E.A.R,https://www.youtube.com/embed/8f8wAXDZ9D0,Surprise surprise,https://www.youtube.com/embed/ZGbNq_flErA,bekhayli,https://www.youtube.com/embed/VOLKJJvfAbg
,,,,,,,,,,,,,,,,,,
21,tum hi ho bandhu,https://www.youtube.com/embed/o1RducJbUdc,arcade,https://www.youtube.com/embed/PNozaFzqOvI,senorita,https://www.youtube.com/embed/Pkh8UtuejGw,worry about me,https://www.youtube.com/embed/b4qC6UORQOQ,monster,https://www.youtube.com/embed/MPbUaIZAaeA,We can fly,https://www.youtube.com/embed/dJQg_OUaLOs,Tears of fears,https://www.youtube.com/embed/aGCdLKXNF3w,breathless,https://www.youtube.com/embed/W15KUnxvZ7A,vaaste,https://www.youtube.com/embed/BBAyRBTfsOU
,,,,,,,,,,,,,,,,,,
22,nagada nagada,https://www.youtube.com/embed/0gtDICWPTyA,heartbreak anniversary,https://www.youtube.com/embed/uWRlisQu4fo,snowman,https://www.youtube.com/embed/gset79KMmt0,jab mila tu,https://www.youtube.com/embed/UVKAnn-fo1M,bad world,https://www.youtube.com/embed/QcIy9NiNbmo,Nadaan parindey,https://www.youtube.com/embed/ttIKsnxPrMY,Pull me out,https://www.youtube.com/embed/x5V0TNOrcI8,To my surprise,https://www.youtube.com/embed/Swq2EzRv2cM,o saathi,https://www.youtube.com/embed/YuXLN23ZGQo
,,,,,,,,,,,,,,,,,,
23,ole ole,https://www.youtube.com/embed/0oWG2Ss9px4,lose you to love me,https://www.youtube.com/embed/zlJDTxahav0,rewrite the stars,https://www.youtube.com/embed/pRfmrE0ToTo,pillow talk,https://www.youtube.com/embed/C_3d6GntKbk,farak,https://www.youtube.com/embed/hqn0cxi2d0A,Maula mere maula,https://www.youtube.com/embed/mRqB4ryQ6QA,Kar har maidaan fateh,https://www.youtube.com/embed/64UX1npgRkI,kar gai chul,https://www.youtube.com/embed/NTHz9ephYTw,perfect,https://www.youtube.com/embed/2Vv-BfVoq4g
,,,,,,,,,,,,,,,,,,
24,senorita,https://www.youtube.com/embed/Pkh8UtuejGw,drivers license,https://www.youtube.com/embed/ZmDBbnmKpqQ,daryaa,https://www.youtube.com/embed/1Z_cClBsABE,sun is shining,https://www.youtube.com/embed/nbXgHAzUWB0,sorry sorry sorry,https://www.youtube.com/embed/4ttoq1nqxUE,Kun faya,https://www.youtube.com/embed/T94PHkuydcw,Ruk jana nahi,https://www.youtube.com/embed/6J9okctVu58,happier,https://www.youtube.com/embed/m7Bc3pLyij0,you are the reason,https://www.youtube.com/embed/ShZ978fBl6Y
,,,,,,,,,,,,,,,,,,
25,brown munde,https://www.youtube.com/embed/VNs_cCtdbPc,daryaa,https://www.youtube.com/embed/1Z_cClBsABE,pierre,https://www.youtube.com/embed/6p4Cia2cazQ,we dont talk anymore,https://www.youtube.com/embed/3AtDnEC4zak,iktara,https://www.youtube.com/embed/fSS_R91Nimw,Shaam,https://www.youtube.com/embed/kl8T6tsOZJk,Dil ye ziddi hai,https://www.youtube.com/embed/puKD3nkB1h4,What a surprise,https://www.youtube.com/embed/hF4S1e9VYXg,love me like you do,https://www.youtube.com/embed/AJtDXIazrMo
